,date,province,confirmed,released,deceased,population,infection_rate,recovery_rate,dead_rate,total_medical,sizeofarea
2427,2020-06-10,Jeollanam-do,20,18,0,1854618.0,0.0010783891885013518,90.0,0.0,544.6748898678414,150.2444912508101
2428,2020-06-10,Gyeongsangbuk-do,1383,1310,54,2646493.0,0.05225783706966162,94.72161966738973,3.9045553145336225,589.0258179390163,139.0476015341775
2429,2020-06-10,Gyeongsangnam-do,127,123,0,3349454.0,0.003791662760557392,96.8503937007874,0.0,617.9804428044281,317.78500948766606
2430,2020-06-10,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2431,2020-06-11,Seoul,1048,675,4,9720846.0,0.010780954661765036,64.40839694656488,0.38167938931297707,422.18657980456027,16067.514049586776
2432,2020-06-11,Busan,147,141,3,3404423.0,0.004317912315831493,95.91836734693877,2.0408163265306123,498.67042624871834,4421.328571428571
2433,2020-06-11,Daegu,6888,6651,188,2427954.0,0.28369565486001797,96.55923344947736,2.72938443670151,473.46996879875195,2746.554298642534
2434,2020-06-11,Incheon,300,136,0,2947217.0,0.010179094379545176,45.33333333333333,0.0,649.7391975308642,2772.546566321731
2435,2020-06-11,Gwangju,32,30,0,1455048.0,0.002199240162523848,93.75,0.0,504.6992715920916,2904.2874251497005
2436,2020-06-11,Daejeon,46,43,1,1471040.0,0.0031270393735044594,93.47826086956522,2.1739130434782608,485.0115397296406,2724.1481481481483
2437,2020-06-11,Ulsan,53,47,1,1142190.0,0.004640208721841375,88.67924528301887,1.8867924528301887,628.6130985140342,1075.5084745762713
2438,2020-06-11,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2439,2020-06-11,Gyeonggi-do,992,691,22,13338020.0,0.007437385758905744,69.65725806451613,2.217741935483871,638.9470658682635,1309.1892422457793
2440,2020-06-11,Gangwon-do,59,51,3,1539282.0,0.003832955884626729,86.4406779661017,5.084745762711865,602.6945967110415,91.47147611124316
2441,2020-06-11,Chungcheongbuk-do,61,52,0,1597593.0,0.003818244070924197,85.24590163934425,0.0,572.2037965616046,215.65780237580992
2442,2020-06-11,Chungcheongnam-do,150,143,0,2119771.0,0.007076236065122129,95.33333333333334,0.0,576.965432770822,257.5976424838984
2443,2020-06-11,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
2444,2020-06-11,Jeollanam-do,20,18,0,1854618.0,0.0010783891885013518,90.0,0.0,544.6748898678414,150.2444912508101
2445,2020-06-11,Gyeongsangbuk-do,1383,1312,54,2646493.0,0.05225783706966162,94.86623282718728,3.9045553145336225,589.0258179390163,139.0476015341775
2446,2020-06-11,Gyeongsangnam-do,127,123,0,3349454.0,0.003791662760557392,96.8503937007874,0.0,617.9804428044281,317.78500948766606
2447,2020-06-11,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2448,2020-06-12,Seoul,1073,680,4,9720846.0,0.011038133923734622,63.37371854613234,0.3727865796831314,422.18657980456027,16067.514049586776
2449,2020-06-12,Busan,147,141,3,3404423.0,0.004317912315831493,95.91836734693877,2.0408163265306123,498.67042624871834,4421.328571428571
2450,2020-06-12,Daegu,6889,6653,189,2427954.0,0.28373684180178044,96.57424880243866,2.743504137030048,473.46996879875195,2746.554298642534
